name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
CHARLTON RESIDENCES,,OCR - [D19],,0,615, ,,0,628,0,615,0,0
CHARLTON VILLAS,,OCR - [D19],,1149,707, ,,1149,784,1149,707,0,0
CHATEAU LA SALLE,,OCR - [D15],,0,783, ,,0,793,0,783,0,0
CHEPSTOW VILLE,,OCR - [D19],,0,669, ,,0,670,0,669,0,0
CHESTNUT RESIDENCES,,OCR - [D23],,0,830, ,,0,830,0,830,0,0
COTSWOLD VILLAS,,OCR - [D13],,0,873, ,,0,873,0,873,0,0
D' KENARIS,,OCR - [D28],,0,787, ,,0,787,0,787,0,0
D'ELIAS,,OCR - [D18],,0,639, ,,0,639,0,639,0,0
D'LEEDON,,CCR - [D10],,0,914, ,,0,969,0,914,0,0
D'MANOR,,OCR - [D16],,889,763, ,,889,763,866,763,0,0
DALLA VALE,,OCR - [D26],,0,855, ,,0,856,0,855,0,0
DUBLIN LODGE,,CCR - [D09],,2615,0, ,,2615,0,2615,0,0,0
DUNSFOLD 18,,OCR - [D13],,0,941, ,,0,941,0,941,0,0
DUNSFOLD RESIDENCES,,OCR - [D13],,0,465, ,,0,465,0,465,0,0
EASTREES,,OCR - [D15],,0,820, ,,0,855,0,820,0,0
ECO,,OCR - [D16],,0,1089, ,,0,1089,0,1048,0,0
EIGHT @ EAST COAST,,OCR - [D15],,939,931, ,,939,931,939,931,0,0
EIGHT RIVERSUITES,,RCR - [D12],,967,966, ,,967,966,967,966,0,0
ELEVEN @ HOLLAND,,CCR - [D10],,0,916, ,,0,916,0,916,0,0
ELITE RESIDENCES,,OCR - [D15],,0,809, ,,0,809,0,809,0,0
ENGLISH VILLAS,,OCR - [D16],,0,581, ,,0,581,0,581,0,0
ESTE VILLA,,OCR - [D28],,0,906, ,,0,906,0,904,0,0
ESTRIVILLAS,,CCR - [D10],,0,717, ,,0,837,0,717,0,0
EUHABITAT,,OCR - [D14],,0,881, ,,0,881,0,877,0,0
FERNHILL COTTAGE,,CCR - [D10],,1735,0, ,,1735,0,1735,0,0,0
