name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
ONE TREE HILL COLLECTION,,CCR - [D10],,0,3755,,,0,3755,0,3755,0,3676
OPERA ESTATE,,OCR - [D15],,1792,2562,,,2878,2562,2019,1840,0,2334
ORCHID VILLAGE,,CCR - [D11],,0,2219,,,0,3012,0,2219,0,0
PALM GROVE TERRACE,,OCR - [D19],,2253,1323,,,2253,1323,2253,1323,0,0
PARADISE ISLAND,,CCR - [D04],,0,1680,,,0,1813,0,1680,0,0
PARK VILLAS,,OCR - [D19],,1499,909,,,1577,1099,1469,909,0,0
PARRY GREEN,,OCR - [D19],,1354,813,,,1354,845,1354,813,0,0
PARRY PARK,,OCR - [D19],,2612,1250,,,2612,1250,2612,1250,0,0
PARRYVILLE,,OCR - [D19],,2038,933,,,2078,933,2038,933,0,0
PASIR PANJANG GARDENS,,OCR - [D05],,2012,2081,,,2012,2081,2012,2081,0,0
PASIR RIS BEACH PARK,,OCR - [D18],,0,788,,,0,1553,0,788,0,0
PAVILION PARK,,OCR - [D23],,2397,1760,,,2397,1945,2397,1749,0,0
PAYA LEBAR GARDENS,,OCR - [D19],,2766,1185,,,2766,1185,2766,1185,0,0
PEACH GARDEN,,RCR - [D15],,0,1807,,,0,1807,0,1807,0,0
PEAKVIEW ESTATE,,OCR - [D16],,1738,1584,,,1738,1622,1738,1603,0,0
PEAKVILLE PARK,,OCR - [D16],,1978,1326,,,1978,1326,1978,1326,0,0
PEIRCE VILLAS,,CCR - [D10],,0,1669,,,0,1669,0,1669,0,0
PEOPLE'S GARDEN,,OCR - [D19],,1751,1805,,,1751,1805,1751,1805,0,0
PETAIN RD/TYRWHITT RD CONSERVATION AREA,,RCR - [D08],,2650,0,,,2650,0,2650,0,0,0
PHOENIX HEIGHTS,,OCR - [D23],,1288,1200,,,1488,1201,1288,1200,0,0
PICARDY GARDENS,,OCR - [D16],,0,1366,,,0,1366,0,1366,0,0
PINE VILLAS,,OCR - [D25],,0,1088,,,0,1088,0,1088,0,0
PINEWOOD TERRACE,,OCR - [D25],,1136,888,,,1136,888,1136,888,0,0
PLATINA GARDENS,,OCR - [D27],,2039,1522,,,2039,1522,2039,1522,0,0
POH HUAT GARDENS,,OCR - [D19],,0,1659,,,0,1659,0,1659,0,0
POLLEN COLLECTION,,OCR - [D28],,0,0,,,2261,1893,2198,1809,2191,1866
PONGGOL PARK,,OCR - [D19],,0,1217,,,0,1217,0,1217,0,0
PRESIDENT GARDENS,,OCR - [D26],,0,1594,,,0,1594,0,1594,0,0
PRINCESS OF WALES PARK,,CCR - [D10],,0,1763,,,0,2004,0,1763,0,0
PRINCETON VALE,,OCR - [D19],,1047,1198,,,1081,1198,1047,1198,0,0
PROSPECT GARDEN,,OCR - [D15],,1575,0,,,1575,0,1575,0,0,0
PROSPER GARDENS,,OCR - [D16],,0,1919,,,0,1919,0,1919,0,0
QUEEN ASTRID PARK,,CCR - [D10],,0,2704,,,0,2704,0,2704,0,0
RAFFLES PARK,,CCR - [D11],,0,2761,,,0,3069,0,2761,0,0
RAINTREE VALLEY,,OCR - [D26],,0,1345,,,0,1345,0,1345,0,0
RAMBAI COURT,,RCR - [D15],,0,1005,,,0,1005,0,1005,0,0
RAYA GARDEN,,OCR - [D19],,1806,1500,,,1806,1666,1806,1500,0,0
REBECCA PARK,,CCR - [D10],,0,1418,,,0,1418,0,1418,0,0
RED BRICK VILLAS,,OCR - [D20],,0,1195,,,0,1195,0,1195,0,0
REGENT VILLAS,,CCR - [D10],,1436,1436,,,1436,1436,1436,1436,0,0
REGINA HILL,,RCR - [D21],,0,1702,,,0,1702,0,1702,0,0
RESIDENCES @ LIMAU,,OCR - [D16],,1655,0,,,1665,0,1655,0,0,0
RESIDENCES @ NOVENA,,CCR - [D11],,0,1548,,,0,1548,0,1548,0,0
RESIDENCES @ STANGEE,,RCR - [D15],,0,2350,,,0,2350,0,2350,0,0
RICHMOND VILLE,,OCR - [D16],,0,1602,,,0,1602,0,1602,0,0
RIDGEVALE GARDENS,,RCR - [D21],,0,1762,,,0,1762,0,1762,0,0
RINDU TERRACE,,OCR - [D19],,1036,1105,,,1036,1105,1036,1105,0,0
ROBIN VILLAGE,,CCR - [D10],,2417,0,,,2417,0,2417,0,0,0
ROMAN TERRACE,,OCR - [D15],,1847,1230,,,1847,1230,1847,1230,0,0
ROSEDALE,,RCR - [D21],,0,1603,,,0,1603,0,1603,0,0
ROSIE VIEW,,CCR - [D11],,0,2642,,,0,2642,0,2642,0,0
SANDILANDS RESIDENCES,,OCR - [D19],,0,1324,,,0,1324,0,1324,0,0
SANDY ISLAND,,CCR - [D04],,0,1389,,,0,2044,0,1389,0,0
SANFORD PARK,,OCR - [D19],,1401,1657,,,1551,1657,1401,1657,0,0
SANNY PARK,,CCR - [D11],,2707,2133,,,3445,2133,2707,2133,0,0
SANTA TERRACES,,OCR - [D14],,0,1191,,,0,1191,0,1191,0,0
SARACA GARDENS,,OCR - [D28],,0,1643,,,0,1643,0,1643,0,0
SARACA VILLAS,,OCR - [D28],,1224,948,,,1224,948,1224,948,0,0
SARINA PARK,,OCR - [D14],,0,1364,,,0,1364,0,1364,0,0
SARINA TERRACE,,OCR - [D14],,2055,0,,,2213,0,2055,0,0,0
SAVOY PARK,,RCR - [D21],,1577,1542,,,1577,1542,1577,1542,0,0
SEA BREEZE TERRACE,,OCR - [D16],,806,0,,,1610,0,806,0,0,0
SEA VIEW PARK,,RCR - [D15],,0,1868,,,0,2162,0,1868,0,0
SEASIDE PARK,,OCR - [D15],,2018,1995,,,2018,2538,2018,1995,0,0
SEAVIEW PARK,,RCR - [D15],,0,2180,,,0,2204,0,2180,0,0
SELBY GARDENS,,CCR - [D10],,0,1849,,,0,1849,0,1849,0,0
SELETAR GARDEN,,OCR - [D28],,1133,1061,,,1255,1455,1133,1061,0,0
SELETAR HILLS ESTATE,,OCR - [D28],,1944,1530,,,1969,2019,1853,1602,0,1435
SELETAR PARK,,OCR - [D28],,0,985,,,0,985,0,985,0,0
SEMBAWANG GARDEN ARCADE,,OCR - [D27],,0,1085,,,0,1300,0,1085,0,0
SEMBAWANG HILLS ESTATE,,OCR - [D20],,1651,1340,,,2799,2655,1994,1691,1899,0
SEMBAWANG PARK,,OCR - [D27],,1561,939,,,1561,1192,1561,939,0,0
SEMBAWANG SPRINGS ESTATE,,OCR - [D27],,2575,998,,,2575,1651,2081,1232,0,0
SEMBAWANG SQUARE ESTATE,,OCR - [D27],,0,812,,,0,812,0,812,0,0
SEMBAWANG STRAITS ESTATE,,OCR - [D27],,1479,1570,,,1479,1570,1479,1570,0,0
SEMBAWANG VILLAS,,OCR - [D27],,0,809,,,0,809,0,809,0,0
SENG YONG VILLAS,,OCR - [D14],,1536,0,,,1536,0,1536,0,0,0
SENNETT ESTATE,,RCR - [D13],,1953,2020,,,2741,2041,1828,2020,0,0
SENTOSA COVE,,CCR - [D04],,0,1782,,,0,2385,0,2047,0,0
SERANGOON GARDEN ESTATE,,OCR - [D19],,1901,1598,,,2582,2445,2056,1759,0,2310
SERANGOON GARDEN PARK,,OCR - [D19],,0,2545,,,0,2545,0,2545,0,0
SERANGOON PARK,,OCR - [D13],,1826,1800,,,2357,1933,1983,1866,0,0
SERENE PARK,,OCR - [D28],,0,1939,,,0,1939,0,1939,0,0
SERENITY TERRACE,,OCR - [D14],,1433,0,,,1433,0,1433,0,0,0
SEVEN OAKS,,CCR - [D10],,0,1400,,,0,1400,0,1400,0,0
SHAMROCK PARK,,CCR - [D10],,2793,2197,,,2793,3041,2793,2454,0,3041
SHAN YAO GARDEN,,RCR - [D21],,0,1308,,,0,1389,0,1308,0,0
SHANGRI-LA PARK,,OCR - [D20],,0,1366,,,0,1442,0,1366,0,0
SHELFORD VILLAS,,CCR - [D11],,0,2214,,,0,2214,0,2214,0,0
SHEPHERD'S HILL ESTATE,,RCR - [D03],,0,1455,,,0,1455,0,1455,0,0
SIEW LIM PARK,,OCR - [D16],,0,192,,,0,2117,0,192,0,0
SIGLAP GARDEN,,OCR - [D15],,0,2110,,,0,2110,0,2110,0,0
SIGLAP PARK,,OCR - [D15],,0,2180,,,0,2180,0,2180,0,0
SILAHIS VILLE,,OCR - [D14],,1693,0,,,1693,0,1693,0,0,0
SILVER HILL,,OCR - [D19],,1667,0,,,1667,0,1667,0,0,0
SIMEI GARDEN,,OCR - [D16],,0,1625,,,0,1625,0,1625,0,0
SIN CHUAN GARDEN,,OCR - [D14],,2157,1228,,,2157,1500,2157,1228,0,0
SOO CHOW GARDEN,,RCR - [D20],,2171,2393,,,2171,2393,2171,2393,0,0
SOUTH UNION PARK,,OCR - [D15],,2178,1701,,,2178,1701,2178,1701,0,0
SPRING PARK ESTATE,,OCR - [D16],,1303,2042,,,1303,2042,1303,2042,0,0
SPRING WATERS VILLAS,,OCR - [D27],,0,0,,,0,1842,0,1842,0,1842
SPRINGBROOK TERRACE,,OCR - [D17],,1410,747,,,1410,747,1410,747,0,0
SPRINGDEW TERRACE,,RCR - [D05],,0,2086,,,0,2086,0,2086,0,0
SPRINGLEAF GARDEN,,OCR - [D26],,0,1450,,,0,1830,0,1387,0,0
SPRINGLEAF GREEN,,OCR - [D26],,0,1603,,,0,1603,0,1603,0,0
SPRINGWOOD,,RCR - [D05],,1732,2007,,,1992,2007,1732,2007,0,1378
SRI MENANTI ESTATE,,CCR - [D10],,2379,1567,,,2379,1567,2379,1567,0,0
ST ANNE'S WOOD,,OCR - [D19],,1827,1580,,,1827,1580,1827,1580,0,0
ST NICHOLAS VIEW,,OCR - [D20],,1425,899,,,1425,1132,1425,899,0,0
ST PATRICK'S ROW,,OCR - [D15],,1622,0,,,1622,0,1622,0,0,0
STRAITS GARDENS,,OCR - [D27],,1784,823,,,1784,823,1784,823,0,0
STRATTON GREEN,,OCR - [D28],,1406,1157,,,1460,1416,1406,1157,0,0
STRATTON PARK,,OCR - [D28],,0,1164,,,0,1292,0,1164,0,0
SUMMER GROVE,,OCR - [D19],,0,894,,,0,894,0,894,0,0
SUMMER PLACE,,OCR - [D19],,2193,1521,,,2193,1521,2193,1521,0,0
SUMMERLEA GREEN,,RCR - [D21],,1517,1400,,,1517,1400,1517,1400,0,0
SUNBIRD PARK,,OCR - [D16],,2061,1605,,,2061,1635,2061,1234,0,0
SUNRISE VILLA,,OCR - [D28],,1910,1235,,,2050,1690,1910,1235,0,0
SURIN GARDENS,,OCR - [D19],,0,999,,,0,999,0,999,0,0
SURIN GROVE,,OCR - [D19],,0,1519,,,0,1519,0,1519,0,0
SWISS CLUB PARK,,CCR - [D11],,0,2023,,,0,2023,0,2023,0,0
SWISS VALLEY,,CCR - [D11],,0,1232,,,0,1232,0,1232,0,0
TAI HWAN GARDEN,,OCR - [D19],,1912,1914,,,1912,1914,1912,1914,0,0
TAI HWAN PARK,,OCR - [D19],,2161,1529,,,2161,1529,2161,1529,0,0
TAI KENG GARDENS,,OCR - [D19],,1496,1190,,,1698,1891,1496,1190,0,0
TAI KENG VILLAS,,OCR - [D19],,1404,1057,,,1451,1080,1404,1057,0,0
TAI PENG GARDENS,,OCR - [D19],,0,1614,,,0,1614,0,1614,0,0
TAI YUAN GARDEN,,OCR - [D19],,0,1369,,,0,1369,0,1369,0,0
TANAH MERAH GREEN,,OCR - [D16],,1373,797,,,1373,1050,1373,797,0,0
TANAH MERAH PARK,,OCR - [D17],,0,1097,,,0,1102,0,1097,0,0
TEACHER'S HOUSING ESTATE,,OCR - [D26],,1933,1325,,,1938,1958,1933,1325,0,0
TEACHERS' HOUSING ESTATE,,OCR - [D26],,0,1534,,,0,1534,0,1534,0,0
TECK CHYE GARDENS,,OCR - [D19],,0,1195,,,0,1195,0,1195,0,0
THE BERTHSIDE,,CCR - [D04],,0,1762,,,0,1762,0,1762,0,0
THE CARRARA,,RCR - [D15],,0,0,,,0,3003,0,3003,0,3003
THE CLEMENTVALE,,OCR - [D05],,1239,1022,,,1239,1022,1239,1022,0,0
THE COUNTRYSIDE,,OCR - [D26],,1998,1427,,,1998,1427,1929,1427,0,0
THE GREENWOOD,,CCR - [D11],,3214,2340,,,3214,2340,3214,2340,0,0
THE INGLEWOOD,,RCR - [D20],,1893,1663,,,1893,1663,1893,1663,0,0
THE JARDINE RESIDENCES,,OCR - [D19],,0,0,,,2957,2425,2957,2425,2957,2425
THE MONDRIAN,,OCR - [D21],,0,2370,,,0,2370,0,2370,0,0
THE MORNING DEW,,OCR - [D28],,1392,1338,,,1392,1338,1392,1338,0,0
THE RAMFORD,,RCR - [D15],,0,0,,,0,2253,0,2253,0,2253
THE RIVERINA,,OCR - [D18],,1536,1165,,,1536,1175,1536,1165,0,0
THE SHORELINE RESIDENCES I,,OCR - [D27],,1350,0,,,1350,0,1350,0,0,0
THE SHORELINE RESIDENCES II,,OCR - [D27],,1659,0,,,1659,0,1659,0,0,0
THE SPRINGSIDE,,OCR - [D26],,1949,1347,,,2348,1917,1949,1347,0,0
THE VILLAS @ SENTOSA COVE,,CCR - [D04],,0,1997,,,0,2724,0,1997,0,0
THOMSON GARDEN ESTATE,,RCR - [D20],,3504,1992,,,3594,3017,2791,2504,0,0
THOMSON HILLS ESTATE,,OCR - [D20],,0,1263,,,0,2445,0,1482,0,0
THOMSON PARK,,RCR - [D20],,2091,1715,,,2584,1715,2091,1715,0,0
THOMSON RIDGE,,RCR - [D20],,0,1709,,,0,2068,0,1536,0,2043
THOMSON RISE ESTATE,,RCR - [D20],,0,1393,,,0,1716,0,1393,0,0
TIVOLI GARDENS,,OCR - [D19],,1487,1115,,,1660,1115,1487,1115,0,0
TOH ESTATE,,OCR - [D17],,1272,1176,,,1272,1339,1272,1176,0,0
TOH TUCK GARDEN,,RCR - [D21],,0,1645,,,0,1645,0,1645,0,0
TOH TUCK HILL,,RCR - [D21],,0,1265,,,0,1265,0,1265,0,0
TUAN SING PARK,,OCR - [D28],,0,1345,,,0,1420,0,1308,0,0
UNIQUE GARDEN,,RCR - [D21],,0,597,,,0,597,0,597,0,0
UNIVERSITY PARK,,CCR - [D11],,0,1287,,,0,1534,0,1287,0,0
VALVISTA,,OCR - [D19],,1643,763,,,1643,763,1643,763,0,0
VAUGHAN GARDEN,,OCR - [D13],,0,948,,,0,1712,0,1330,0,0
VENTANA VILLAS,,RCR - [D05],,0,1604,,,0,1604,0,1604,0,0
VERDURE VILLAS,,OCR - [D19],,0,1051,,,0,1226,0,1051,0,0
VICTORIA PARK VILLAS,,CCR - [D10],,0,2430,,,0,2430,0,2430,0,0
VILLA BEGONIA,,OCR - [D28],,1225,1268,,,1225,1268,1225,1268,0,0
VILLA PONDER ROSA,,OCR - [D19],,0,1700,,,0,1700,0,1700,0,0
VILLA VERDE,,OCR - [D23],,1363,1129,,,1505,1208,1332,1168,0,0
VILLAS SIX,,RCR - [D05],,0,1353,,,0,1353,0,1353,0,0
VISTA GARDEN,,RCR - [D21],,1400,1364,,,1400,1364,1400,1364,0,0
WASHINGTON VILLA,,OCR - [D28],,0,1042,,,0,1042,0,1042,0,0
WATTEN ESTATE,,CCR - [D11],,2719,2699,,,2932,3439,2719,3069,0,0
WEI MIN GARDEN,,OCR - [D16],,0,1121,,,0,1121,0,1121,0,0
WELLINGTON PARK,,OCR - [D20],,1810,1356,,,1810,1493,1810,1356,0,0
